"","userAgeBracket","date","sessions","hits","bounceRate","users","avgSessionDuration"
"91","25-34","20160410",10,60,40,10,166.6
"92","35-44","20160410",16,155,37.5,14,127.875
"93","18-24","20160409",13,146,38.4615384615385,13,196.615384615385
"94","25-34","20160409",14,221,28.5714285714286,12,264.214285714286
"95","45-54","20160409",11,137,36.3636363636364,11,115.272727272727
"96","18-24","20160408",31,212,41.9354838709677,28,95.7741935483871
"97","25-34","20160408",56,600,32.1428571428571,52,274.553571428571
"98","35-44","20160408",66,652,34.8484848484849,56,231.151515151515
"99","45-54","20160408",31,237,38.7096774193548,30,126.354838709677
"100","55-64","20160408",13,37,61.5384615384615,13,50.4615384615385
"101","18-24","20160407",23,217,26.0869565217391,21,126.478260869565
"102","25-34","20160407",86,896,31.3953488372093,75,168.127906976744
"103","35-44","20160407",79,913,25.3164556962025,73,374.341772151899
"104","45-54","20160407",58,656,32.7586206896552,54,181.258620689655
"105","55-64","20160407",26,221,34.6153846153846,26,155.346153846154
"106","18-24","20160406",51,547,37.2549019607843,41,251.156862745098
"107","25-34","20160406",77,605,44.1558441558442,74,132.935064935065
"108","35-44","20160406",94,728,48.936170212766,84,142.340425531915
"109","45-54","20160406",85,533,45.8823529411765,74,155.752941176471
"110","55-64","20160406",41,87,68.2926829268293,38,36.1951219512195
"111","65+","20160406",12,49,58.3333333333333,11,121
"112","18-24","20160405",23,451,13.0434782608696,12,400.217391304348
"113","25-34","20160405",17,140,58.8235294117647,14,190.941176470588
"114","35-44","20160405",21,79,76.1904761904762,20,32.1428571428571
"115","45-54","20160405",17,47,76.4705882352941,16,52.3529411764706
"116","55-64","20160405",29,62,65.5172413793103,28,41
"117","18-24","20160404",13,40,69.2307692307692,13,29.5384615384615
"118","25-34","20160404",20,100,65,18,76.65
"119","35-44","20160404",22,321,45.4545454545455,22,185
"120","45-54","20160404",14,44,57.1428571428571,14,49.0714285714286
"121","55-64","20160404",12,15,83.3333333333333,12,8.08333333333333
"122","18-24","20160403",13,123,46.1538461538462,12,117.307692307692
"123","25-34","20160403",10,51,60,10,68.2
"124","35-44","20160403",17,126,52.9411764705882,17,108.764705882353
"125","45-54","20160403",18,39,61.1111111111111,18,38.8888888888889
"126","55-64","20160403",19,42,52.6315789473684,19,43.5789473684211
"127","18-24","20160402",13,138,46.1538461538462,13,134.692307692308
"128","25-34","20160402",16,88,62.5,15,61.4375
"129","35-44","20160402",10,18,80,10,22.3
"130","55-64","20160402",15,22,66.6666666666667,15,36
"131","18-24","20160401",13,143,30.7692307692308,12,207.384615384615
"132","25-34","20160401",26,98,53.8461538461538,25,26.2307692307692
"133","35-44","20160401",18,115,66.6666666666667,17,79.3888888888889
"134","45-54","20160401",13,88,61.5384615384615,13,112.307692307692
"135","18-24","20160331",23,259,39.1304347826087,17,189.217391304348
"136","25-34","20160331",29,238,27.5862068965517,29,224.48275862069
"137","35-44","20160331",32,344,46.875,28,207.4375
"138","45-54","20160331",20,202,35,20,148.2
"139","25-34","20160329",18,100,66.6666666666667,17,75.8333333333333
"140","45-54","20160329",10,25,80,10,16.3
"141","25-34","20160328",22,152,50,21,68.6363636363636
"142","35-44","20160328",20,81,60,20,82.25
"143","45-54","20160328",18,67,66.6666666666667,18,147.833333333333
"144","25-34","20160327",18,249,33.3333333333333,15,275.888888888889
"145","35-44","20160327",12,22,75,12,9.66666666666667
"146","45-54","20160327",13,172,30.7692307692308,11,255.076923076923
"147","18-24","20160326",16,56,75,14,38.5
"148","25-34","20160326",19,144,68.4210526315789,19,74.6315789473684
"149","35-44","20160326",16,181,62.5,12,174.8125
"150","45-54","20160326",12,83,58.3333333333333,11,82.5833333333333
"151","18-24","20160325",16,267,37.5,14,219.3125
"152","25-34","20160325",15,322,53.3333333333333,14,201.533333333333
"153","35-44","20160325",16,173,50,14,130.75
"154","45-54","20160325",14,67,78.5714285714286,14,78.8571428571429
"155","18-24","20160324",25,309,36,22,222.2
"156","25-34","20160324",56,529,33.9285714285714,55,163.339285714286
"157","35-44","20160324",55,651,34.5454545454545,49,240.927272727273
"158","45-54","20160324",26,215,46.1538461538462,24,187.461538461538
"159","55-64","20160324",14,151,28.5714285714286,13,131.071428571429
"160","18-24","20160323",13,195,23.0769230769231,11,311.307692307692
"161","35-44","20160323",11,95,27.2727272727273,10,192.181818181818
"162","45-54","20160323",15,160,26.6666666666667,10,346.733333333333
"163","25-34","20160322",12,135,16.6666666666667,12,183.583333333333
"164","18-24","20160321",46,130,78.2608695652174,45,24.5869565217391
"165","25-34","20160321",73,182,84.9315068493151,71,29.2465753424658
"166","35-44","20160321",46,118,80.4347826086957,42,15.1086956521739
"167","45-54","20160321",16,76,75,16,36.5
"168","18-24","20160320",93,138,89.247311827957,92,16.7849462365591
"169","25-34","20160320",163,239,83.4355828220859,161,41.2576687116564
"170","35-44","20160320",77,109,83.1168831168831,77,13.1168831168831
"171","45-54","20160320",35,94,77.1428571428572,35,28.0285714285714
"172","55-64","20160320",23,40,78.2608695652174,23,11.6521739130435
"173","18-24","20160319",105,224,76.1904761904762,101,30.9238095238095
"174","25-34","20160319",146,253,82.8767123287671,144,18.3835616438356
"175","35-44","20160319",86,110,80.2325581395349,86,27.6627906976744
"176","45-54","20160319",51,70,76.4705882352941,49,24.0196078431373
"177","55-64","20160319",16,22,75,16,5.6875
"178","18-24","20160318",71,106,81.6901408450704,71,32.7323943661972
"179","25-34","20160318",115,214,82.6086956521739,115,22.0869565217391
"180","35-44","20160318",69,144,82.6086956521739,68,45.8985507246377
"181","45-54","20160318",42,84,80.9523809523809,41,56.0238095238095
"182","55-64","20160318",16,44,68.75,16,43.0625
"183","18-24","20160317",69,103,88.4057971014493,67,11.0144927536232
"184","25-34","20160317",135,262,82.2222222222222,132,20.3037037037037
"185","35-44","20160317",80,121,80,76,35.95
"186","45-54","20160317",47,66,78.7234042553192,46,18.5744680851064
"187","55-64","20160317",15,32,86.6666666666667,15,9.93333333333333
"188","18-24","20160316",60,128,75,60,59.6166666666667
"189","25-34","20160316",163,306,76.6871165644172,160,46.0306748466258
"190","35-44","20160316",122,217,81.9672131147541,117,51.9262295081967
"191","45-54","20160316",59,177,76.271186440678,58,28.2203389830508
"192","55-64","20160316",26,38,88.4615384615385,26,6.65384615384615
"193","18-24","20160315",86,146,82.5581395348837,82,40.3023255813954
"194","25-34","20160315",187,346,79.6791443850267,183,29.3689839572192
"195","35-44","20160315",123,279,73.9837398373984,119,43.8617886178862
"196","45-54","20160315",86,203,79.0697674418605,84,41.3953488372093
